Table                                   DTM        Decisive           Drawn         Min  Updated (UTC)       
-------------------------------------------------------------------------------------------------------------
regen_K_Bishop_Bishop_K                  10         482,043         149,635         1.3  2026-04-23 09:49:38 
regen_K_Bishop_K                          9           1,017          51,229         0.1  2026-04-23 10:58:18 
regen_K_Bishop_Knight_K                  32       2,569,194         204,657        13.4  2026-04-21 08:18:24 
regen_K_Bishop_Pawn_K                    70       6,941,710         669,395        38.5  2026-04-21 12:59:23 
regen_K_Bishop_Queen_K                   20       2,555,655         198,088        19.6  2026-04-21 07:14:40 
regen_K_Bishop_Rook_K                    22       2,509,802         427,644        18.3  2026-04-21 07:49:00 
regen_K_Bishop_vs_Bishop_K                9           5,631       2,538,755        23.7  2026-04-21 10:46:15 
regen_K_Bishop_vs_Knight_K               17          14,421       2,536,413        15.3  2026-04-21 11:01:34 
regen_K_Bishop_vs_Pawn_K                 15          87,165       7,443,312        41.3  2026-04-21 15:11:18 
regen_K_Bishop_vs_Queen_K                12           7,909       2,474,678        22.1  2026-04-21 09:10:53 
regen_K_Bishop_vs_Rook_K                  9          12,852       2,773,019        26.7  2026-04-21 10:10:30 
regen_K_Knight_K                         32          44,142           8,443         0.1  2026-04-21 06:36:15 
regen_K_Knight_Knight_K                  32       1,387,352           6,490         2.8  2026-04-21 08:21:15 
regen_K_Knight_Pawn_K                    70       7,519,292          94,608        16.7  2026-04-21 13:16:35 
regen_K_Knight_Queen_K                   32       2,770,151           6,490        11.3  2026-04-21 07:26:01 
regen_K_Knight_Rook_K                    32       2,694,827         249,777        11.7  2026-04-21 08:00:52 
regen_K_Knight_vs_Knight_K               44         256,670       2,297,099        10.8  2026-04-21 11:12:23 
regen_K_Knight_vs_Pawn_K                 50       5,421,270       2,107,853        21.2  2026-04-21 15:33:07 
regen_K_Knight_vs_Queen_K                35         491,196       1,994,326        11.8  2026-04-21 09:22:48 
regen_K_Knight_vs_Rook_K                 37         576,110       2,212,696        11.9  2026-04-21 10:22:31 
regen_K_Pawn_K                           70         114,699          34,501         0.3  2026-04-21 06:36:35 
regen_K_Pawn_Pawn_K                      74       3,256,947          70,087         5.5  2026-04-21 13:22:09 
regen_K_Pawn_Queen_K                     70       7,493,129          76,003        43.8  2026-04-21 11:56:12 
regen_K_Pawn_Rook_K                      70       7,463,602         694,955        22.3  2026-04-21 12:20:31 
regen_K_Pawn_vs_Pawn_K                   73         857,676       5,790,302        18.3  2026-04-21 15:51:37 
regen_K_Pawn_vs_Queen_K                  71         607,159       6,760,904        32.1  2026-04-21 13:54:14 
regen_K_Pawn_vs_Rook_K                   71         610,075       7,475,722        34.4  2026-04-21 14:29:01 
regen_K_Queen_K                          20          46,917           5,186         0.2  2026-04-21 06:35:40 
regen_K_Queen_Queen_K                    20       1,366,504               0         5.4  2026-04-21 06:42:00 
regen_K_Queen_Queen_Queen_K              10      24,464,874               0       105.7  2026-04-22 14:41:01 
regen_K_Queen_Rook_K                     20       2,667,075         243,748        13.0  2026-04-21 06:55:02 
regen_K_Queen_vs_Queen_K                 25         212,585       2,210,727        12.9  2026-04-21 08:34:11 
regen_K_Queen_vs_Rook_K                  34         239,472       2,487,124        14.4  2026-04-21 08:48:40 
regen_K_Rook_K                           15             986          55,475         0.2  2026-04-21 06:35:51 
regen_K_Rook_Rook_K                      22       1,327,485         228,113         4.7  2026-04-21 07:30:43 
regen_K_Rook_vs_Rook_K                   15           8,212       3,013,612        20.9  2026-04-21 09:43:43 
