# table_key	max_dtm	decisive	remaining	elapsed_min	updated_utc
K_Bishop_Rook_K	24	26097912	4400136	177.1	manual-log-2026-03-04
K_Knight_K	44	282780	54188	1.1	manual-log-2026-03-04
K_Knight_Knight_K	12	14644148	604876	30.5	manual-log-2026-03-04
K_Knight_Pawn_K	18	21395468	1478068	35.8	manual-log-2026-03-04
K_Knight_Queen_K	11	29287040	1211008	80.7	manual-log-2026-03-04
K_Knight_Rook_K	18	27310408	3187640	99.4	manual-log-2026-03-04
K_Pawn_K	52	229792	69002	0.8	manual-log-2026-03-04
K_Pawn_Pawn_K	18	7675946	856246	12.4	manual-log-2026-03-04
K_Pawn_Queen_K	14	21393728	1479808	49.3	manual-log-2026-03-04
K_Pawn_Rook_K	26	19843294	3030242	65.2	manual-log-2026-03-04
K_Queen_K	20	300544	33360	1.2	manual-log-2026-03-04
K_Queen_Queen_K	8	14663640	585384	48.8	manual-log-2026-03-04
K_Queen_Rook_K	15	27414544	3083504	105.4	manual-log-2026-03-04
K_Queen_vs_Queen_K	8	7237536	23260512	180.0	2026-03-04 13:02:12
K_Queen_vs_Rook_K	14	8181652	22316396	261.6	2026-03-05 02:59:37
K_Rook_K	15	6392	355568	1.2	manual-log-2026-03-04
K_Rook_Rook_K	22	12843220	2405804	37.3	manual-log-2026-03-04
