Table                                   DTM        Decisive           Drawn         Min  Updated (UTC)       
-------------------------------------------------------------------------------------------------------------
regen_K_Bishop_Bishop_K                  10         482,043         149,635         1.8  2026-04-23 16:17:13 
regen_K_Bishop_K                          9           1,017          51,229         0.2  2026-04-23 15:32:27 
regen_K_Bishop_Knight_K                  32       2,569,194         204,657         6.2  2026-04-23 16:23:23 
regen_K_Bishop_Pawn_K                    70       6,941,710         669,395         9.9  2026-04-23 17:47:23 
regen_K_Bishop_Queen_K                   20       2,555,655         198,088         7.6  2026-04-23 15:48:51 
regen_K_Bishop_Rook_K                    22       2,509,802         427,644         6.3  2026-04-23 16:11:39 
regen_K_Bishop_vs_Bishop_K                9           5,631       2,538,755         4.5  2026-04-23 17:15:47 
regen_K_Bishop_vs_Knight_K               17          14,421       2,536,413         3.4  2026-04-23 17:19:11 
regen_K_Bishop_vs_Pawn_K                 15          87,165       7,443,312        10.4  2026-04-23 18:22:19 
regen_K_Bishop_vs_Queen_K                12           7,909       2,474,678         4.2  2026-04-23 16:57:21 
regen_K_Bishop_vs_Rook_K                  9          12,852       2,773,019         4.1  2026-04-23 17:08:14 
regen_K_Knight_K                         32          44,142           8,443         0.1  2026-04-23 15:32:34 
regen_K_Knight_Knight_K                  32       1,387,352           6,490         1.5  2026-04-23 16:24:55 
regen_K_Knight_Pawn_K                    70       7,519,292          94,608         6.4  2026-04-23 17:53:49 
regen_K_Knight_Queen_K                   32       2,770,151           6,490         3.9  2026-04-23 15:52:45 
regen_K_Knight_Rook_K                    32       2,694,827         249,777         3.8  2026-04-23 16:15:27 
regen_K_Knight_vs_Knight_K               44         256,670       2,297,099         2.2  2026-04-23 17:21:21 
regen_K_Knight_vs_Pawn_K                 50       5,421,270       2,107,853         7.1  2026-04-23 18:29:27 
regen_K_Knight_vs_Queen_K                35         491,196       1,994,326         3.2  2026-04-23 17:00:32 
regen_K_Knight_vs_Rook_K                 37         576,110       2,212,696         3.0  2026-04-23 17:11:16 
regen_K_Pawn_K                           70         114,699          34,501         0.2  2026-04-23 15:32:48 
regen_K_Pawn_Pawn_K                      74       3,256,947          70,087         2.4  2026-04-23 18:31:51 
regen_K_Pawn_Queen_K                     70       7,493,129          76,003         8.4  2026-04-23 17:29:43 
regen_K_Pawn_Rook_K                      70       7,463,602         694,955         7.8  2026-04-23 17:37:30 
regen_K_Pawn_vs_Pawn_K                   73         857,676       5,790,302         4.9  2026-04-23 18:36:45 
regen_K_Pawn_vs_Queen_K                  71             307       7,367,756         9.7  2026-04-23 18:03:28 
regen_K_Pawn_vs_Rook_K                   71         610,075       7,475,722         8.4  2026-04-23 18:11:54 
regen_K_Queen_K                          20          46,917           5,186         0.2  2026-04-23 15:32:09 
regen_K_Queen_Queen_K                    20       1,366,504               0         3.2  2026-04-23 15:36:01 
regen_K_Queen_Queen_Queen_K              10      24,464,874               0        37.9  2026-04-23 19:14:41 
regen_K_Queen_Queen_Rook_K               14      76,951,052               0       162.2  2026-04-23 21:56:52 
regen_K_Queen_Rook_K                     20       2,667,075         243,748         5.2  2026-04-23 15:41:14 
regen_K_Queen_vs_Queen_K                 25         212,585       2,210,727         4.1  2026-04-23 16:49:18 
regen_K_Queen_vs_Rook_K                  34         239,472       2,487,124         3.9  2026-04-23 16:53:10 
regen_K_Rook_K                           15             986          55,475         0.1  2026-04-23 15:32:16 
regen_K_Rook_Rook_K                      22       1,327,485         228,113         1.7  2026-04-23 16:05:18 
regen_K_Rook_vs_Rook_K                   15           8,212       3,013,612         3.6  2026-04-23 17:04:07 
