# table_key	max_dtm	decisive	remaining	elapsed_min	updated_utc
regen_K_Bishop_Bishop_K	10	482043	149635	5.4	2026-03-25 13:46:50
regen_K_Bishop_K	9	1017	51229	0.3	2026-03-25 11:57:55
regen_K_Bishop_Knight_K	32	2569194	204657	23.2	2026-03-25 14:22:32
regen_K_Bishop_Pawn_K	70	6941710	669395	38.5	2026-03-25 18:40:20
regen_K_Bishop_Queen_K	20	2555655	198088	22.2	2026-03-25 12:43:34
regen_K_Bishop_Rook_K	22	2509802	427644	21.0	2026-03-25 13:26:05
regen_K_Bishop_vs_Bishop_K	9	5631	2538755	23.7	2026-03-25 16:42:06
regen_K_Bishop_vs_Knight_K	17	14421	2536413	15.3	2026-03-25 16:57:23
regen_K_Bishop_vs_Pawn_K	15	87165	7443312	42.5	2026-03-25 20:46:09
regen_K_Bishop_vs_Queen_K	12	7909	2474678	17.6	2026-03-25 15:27:27
regen_K_Bishop_vs_Rook_K	9	12852	2773019	18.1	2026-03-25 16:07:53
regen_K_Knight_K	32	44142	8443	0.2	2026-03-25 11:58:04
regen_K_Knight_Knight_K	32	1387352	6490	4.7	2026-03-25 14:27:17
regen_K_Knight_Pawn_K	70	7519292	94608	18.4	2026-03-25 18:58:49
regen_K_Knight_Queen_K	32	2770151	6490	14.1	2026-03-25 12:57:43
regen_K_Knight_Rook_K	32	2694827	249777	15.2	2026-03-25 13:41:23
regen_K_Knight_vs_Knight_K	44	256670	2297099	8.3	2026-03-25 17:05:41
regen_K_Knight_vs_Pawn_K	50	5421270	2107853	21.6	2026-03-25 21:07:51
regen_K_Knight_vs_Queen_K	35	491196	1994326	10.5	2026-03-25 15:37:58
regen_K_Knight_vs_Rook_K	37	576110	2212696	10.5	2026-03-25 16:18:23
regen_K_Pawn_K	70	114699	34501	0.3	2026-03-25 11:58:22
regen_K_Pawn_Pawn_K	74	3256947	70087	6.7	2026-03-25 19:05:35
regen_K_Pawn_Queen_K	70	7493129	76003	27.5	2026-03-25 17:33:12
regen_K_Pawn_Rook_K	70	7463602	694955	28.3	2026-03-25 18:01:41
regen_K_Pawn_vs_Pawn_K	73	857676	5790302	16.0	2026-03-25 21:23:56
regen_K_Pawn_vs_Queen_K	71	607159	6760904	30.7	2026-03-25 19:36:16
regen_K_Pawn_vs_Rook_K	71	610075	7475722	27.1	2026-03-25 20:03:26
regen_K_Queen_K	20	46917	5186	0.2	2026-03-25 11:57:30
regen_K_Queen_Queen_K	20	1366504	0	7.5	2026-03-25 12:05:50
regen_K_Queen_Rook_K	20	2667075	243748	15.4	2026-03-25 12:21:18
regen_K_Queen_vs_Queen_K	25	212585	2210727	24.7	2026-03-25 14:52:03
regen_K_Queen_vs_Rook_K	34	239472	2487124	15.2	2026-03-25 15:09:52
regen_K_Rook_K	15	986	55475	0.2	2026-03-25 11:57:40
regen_K_Rook_Rook_K	22	1327485	228113	7.3	2026-03-25 13:05:03
regen_K_Rook_vs_Rook_K	15	8212	3013612	11.8	2026-03-25 15:49:48
